,ds,Temperature,isAnomaly,class
0,06-Jan-17 5:15:00 PM EET,26.4,0,5
1,06-Jan-17 5:20:00 PM EET,26.4,0,5
2,06-Jan-17 5:25:00 PM EET,26.4,0,5
3,06-Jan-17 5:30:00 PM EET,26.4,0,5
4,06-Jan-17 5:35:00 PM EET,26.4,0,5
5,06-Jan-17 5:40:00 PM EET,26.4,0,5
6,06-Jan-17 5:45:00 PM EET,26.4,0,5
7,06-Jan-17 5:50:00 PM EET,26.4,0,5
8,06-Jan-17 5:55:00 PM EET,26.4,0,5
9,06-Jan-17 6:00:00 PM EET,26.3,0,5
10,06-Jan-17 6:05:00 PM EET,26.3,0,5
11,06-Jan-17 6:10:00 PM EET,26.2,0,5
12,06-Jan-17 6:15:00 PM EET,26.1,0,5
13,06-Jan-17 6:20:00 PM EET,25.9,0,5
14,06-Jan-17 6:25:00 PM EET,25.9,0,5
15,06-Jan-17 6:30:00 PM EET,26.0,0,5
16,06-Jan-17 6:35:00 PM EET,26.1,0,5
17,06-Jan-17 6:40:00 PM EET,26.1,0,5
18,06-Jan-17 6:45:00 PM EET,26.2,0,5
19,06-Jan-17 6:50:00 PM EET,26.2,0,5
20,06-Jan-17 6:55:00 PM EET,26.2,0,5
21,06-Jan-17 7:00:00 PM EET,26.3,0,5
22,06-Jan-17 7:05:00 PM EET,26.2,0,5
23,06-Jan-17 7:10:00 PM EET,26.2,0,5
24,06-Jan-17 7:15:01 PM EET,26.2,0,5
25,06-Jan-17 7:20:00 PM EET,26.2,0,5
26,06-Jan-17 7:25:01 PM EET,26.1,0,5
27,06-Jan-17 7:30:00 PM EET,26.0,0,5
28,06-Jan-17 7:35:00 PM EET,25.8,0,5
29,06-Jan-17 7:40:00 PM EET,25.6,0,5
30,06-Jan-17 7:45:00 PM EET,25.5,0,5
31,06-Jan-17 7:50:00 PM EET,25.6,0,5
32,06-Jan-17 7:55:00 PM EET,25.6,0,5
33,06-Jan-17 8:00:00 PM EET,25.7,0,5
34,06-Jan-17 8:05:00 PM EET,25.5,0,5
35,06-Jan-17 8:10:00 PM EET,25.1,0,5
36,06-Jan-17 8:15:00 PM EET,24.9,0,5
37,06-Jan-17 8:20:00 PM EET,24.8,0,5
38,06-Jan-17 8:25:00 PM EET,24.7,0,5
39,06-Jan-17 8:30:00 PM EET,24.4,0,5
40,06-Jan-17 8:35:00 PM EET,24.3,0,5
41,06-Jan-17 8:40:00 PM EET,24.4,0,5
